日付,費目,金額
2024-01,家賃,0
2024-02,家賃,0
2024-03,家賃,0
2024-04,家賃,0
2024-05,家賃,0
2024-06,家賃,0
2024-07,家賃,0
2024-08,家賃,0
2024-09,家賃,0
2024-10,家賃,0
2024-11,家賃,0
2024-12,家賃,0
2024-01,固定人件費,0
2024-02,固定人件費,0
2024-03,固定人件費,0
2024-04,固定人件費,0
2024-05,固定人件費,0
2024-06,固定人件費,0
2024-07,固定人件費,0
2024-08,固定人件費,0
2024-09,固定人件費,0
2024-10,固定人件費,0
2024-11,固定人件費,0
2024-12,固定人件費,0
2024-01,損害保険,0
2024-02,損害保険,0
2024-03,損害保険,0
2024-04,損害保険,0
2024-05,損害保険,0
2024-06,損害保険,0
2024-07,損害保険,0
2024-08,損害保険,0
2024-09,損害保険,0
2024-10,損害保険,0
2024-11,損害保険,0
2024-12,損害保険,0
2024-01,備品・消耗品仕入費,0
2024-02,備品・消耗品仕入費,0
2024-03,備品・消耗品仕入費,0
2024-04,備品・消耗品仕入費,0
2024-05,備品・消耗品仕入費,0
2024-06,備品・消耗品仕入費,0
2024-07,備品・消耗品仕入費,0
2024-08,備品・消耗品仕入費,0
2024-09,備品・消耗品仕入費,0
2024-10,備品・消耗品仕入費,0
2024-11,備品・消耗品仕入費,0
2024-12,備品・消耗品仕入費,0
2024-01,雑費・小口精算費,0
2024-02,雑費・小口精算費,0
2024-03,雑費・小口精算費,0
2024-04,雑費・小口精算費,0
2024-05,雑費・小口精算費,0
2024-06,雑費・小口精算費,0
2024-07,雑費・小口精算費,0
2024-08,雑費・小口精算費,0
2024-09,雑費・小口精算費,0
2024-10,雑費・小口精算費,0
2024-11,雑費・小口精算費,0
2024-12,雑費・小口精算費,0
2024-01,電気代,0
2024-02,電気代,0
2024-03,電気代,0
2024-04,電気代,0
2024-05,電気代,0
2024-06,電気代,0
2024-07,電気代,0
2024-08,電気代,0
2024-09,電気代,0
2024-10,電気代,0
2024-11,電気代,0
2024-12,電気代,0
2024-01,ガス代,0
2024-02,ガス代,0
2024-03,ガス代,0
2024-04,ガス代,0
2024-05,ガス代,0
2024-06,ガス代,0
2024-07,ガス代,0
2024-08,ガス代,0
2024-09,ガス代,0
2024-10,ガス代,0
2024-11,ガス代,0
2024-12,ガス代,0
2024-01,水道代,0
2024-02,水道代,0
2024-03,水道代,0
2024-04,水道代,0
2024-05,水道代,0
2024-06,水道代,0
2024-07,水道代,0
2024-08,水道代,0
2024-09,水道代,0
2024-10,水道代,0
2024-11,水道代,0
2024-12,水道代,0
2024-01,通信費,0
2024-02,通信費,0
2024-03,通信費,0
2024-04,通信費,0
2024-05,通信費,0
2024-06,通信費,0
2024-07,通信費,0
2024-08,通信費,0
2024-09,通信費,0
2024-10,通信費,0
2024-11,通信費,0
2024-12,通信費,0
2024-01,広告宣伝費,0
2024-02,広告宣伝費,0
2024-03,広告宣伝費,0
2024-04,広告宣伝費,0
2024-05,広告宣伝費,0
2024-06,広告宣伝費,0
2024-07,広告宣伝費,0
2024-08,広告宣伝費,0
2024-09,広告宣伝費,0
2024-10,広告宣伝費,0
2024-11,広告宣伝費,0
2024-12,広告宣伝費,0
2024-01,クレジットカード手数料,0
2024-02,クレジットカード手数料,0
2024-03,クレジットカード手数料,0
2024-04,クレジットカード手数料,0
2024-05,クレジットカード手数料,0
2024-06,クレジットカード手数料,0
2024-07,クレジットカード手数料,0
2024-08,クレジットカード手数料,0
2024-09,クレジットカード手数料,0
2024-10,クレジットカード手数料,0
2024-11,クレジットカード手数料,0
2024-12,クレジットカード手数料,0
2024-01-01,食材仕入れ費,0
2024-01-01,ドリンク仕入れ費,0
2024-01-01,アルバイト人件費,0
2024-01-02,食材仕入れ費,0
2024-01-02,ドリンク仕入れ費,0
2024-01-02,アルバイト人件費,0
2024-01-03,食材仕入れ費,0
2024-01-03,ドリンク仕入れ費,0
2024-01-03,アルバイト人件費,0
2024-01-04,食材仕入れ費,0
2024-01-04,ドリンク仕入れ費,0
2024-01-04,アルバイト人件費,0
2024-01-05,食材仕入れ費,0
2024-01-05,ドリンク仕入れ費,0
2024-01-05,アルバイト人件費,0
2024-01-06,食材仕入れ費,0
2024-01-06,ドリンク仕入れ費,0
2024-01-06,アルバイト人件費,0
2024-01-07,食材仕入れ費,0
2024-01-07,ドリンク仕入れ費,0
2024-01-07,アルバイト人件費,0
2024-01-08,食材仕入れ費,0
2024-01-08,ドリンク仕入れ費,0
2024-01-08,アルバイト人件費,0
2024-01-09,食材仕入れ費,0
2024-01-09,ドリンク仕入れ費,0
2024-01-09,アルバイト人件費,0
2024-01-10,食材仕入れ費,0
2024-01-10,ドリンク仕入れ費,0
2024-01-10,アルバイト人件費,0
2024-01-11,食材仕入れ費,0
2024-01-11,ドリンク仕入れ費,0
2024-01-11,アルバイト人件費,0
2024-01-12,食材仕入れ費,0
2024-01-12,ドリンク仕入れ費,0
2024-01-12,アルバイト人件費,0
2024-01-13,食材仕入れ費,0
2024-01-13,ドリンク仕入れ費,0
2024-01-13,アルバイト人件費,0
2024-01-14,食材仕入れ費,0
2024-01-14,ドリンク仕入れ費,0
2024-01-14,アルバイト人件費,0
2024-01-15,食材仕入れ費,0
2024-01-15,ドリンク仕入れ費,0
2024-01-15,アルバイト人件費,0
2024-01-16,食材仕入れ費,0
2024-01-16,ドリンク仕入れ費,0
2024-01-16,アルバイト人件費,0
2024-01-17,食材仕入れ費,0
2024-01-17,ドリンク仕入れ費,0
2024-01-17,アルバイト人件費,0
2024-01-18,食材仕入れ費,0
2024-01-18,ドリンク仕入れ費,0
2024-01-18,アルバイト人件費,0
2024-01-19,食材仕入れ費,0
2024-01-19,ドリンク仕入れ費,0
2024-01-19,アルバイト人件費,0
2024-01-20,食材仕入れ費,0
2024-01-20,ドリンク仕入れ費,0
2024-01-20,アルバイト人件費,0
2024-01-21,食材仕入れ費,0
2024-01-21,ドリンク仕入れ費,0
2024-01-21,アルバイト人件費,0
2024-01-22,食材仕入れ費,0
2024-01-22,ドリンク仕入れ費,0
2024-01-22,アルバイト人件費,0
2024-01-23,食材仕入れ費,0
2024-01-23,ドリンク仕入れ費,0
2024-01-23,アルバイト人件費,0
2024-01-24,食材仕入れ費,0
2024-01-24,ドリンク仕入れ費,0
2024-01-24,アルバイト人件費,0
2024-01-25,食材仕入れ費,0
2024-01-25,ドリンク仕入れ費,0
2024-01-25,アルバイト人件費,0
2024-01-26,食材仕入れ費,0
2024-01-26,ドリンク仕入れ費,0
2024-01-26,アルバイト人件費,0
2024-01-27,食材仕入れ費,0
2024-01-27,ドリンク仕入れ費,0
2024-01-27,アルバイト人件費,0
2024-01-28,食材仕入れ費,0
2024-01-28,ドリンク仕入れ費,0
2024-01-28,アルバイト人件費,0
2024-01-29,食材仕入れ費,0
2024-01-29,ドリンク仕入れ費,0
2024-01-29,アルバイト人件費,0
2024-01-30,食材仕入れ費,0
2024-01-30,ドリンク仕入れ費,0
2024-01-30,アルバイト人件費,0
2024-01-31,食材仕入れ費,0
2024-01-31,ドリンク仕入れ費,0
2024-01-31,アルバイト人件費,0
2024-02-01,食材仕入れ費,0
2024-02-01,ドリンク仕入れ費,0
2024-02-01,アルバイト人件費,0
2024-02-02,食材仕入れ費,0
2024-02-02,ドリンク仕入れ費,0
2024-02-02,アルバイト人件費,0
2024-02-03,食材仕入れ費,0
2024-02-03,ドリンク仕入れ費,0
2024-02-03,アルバイト人件費,0
2024-02-04,食材仕入れ費,0
2024-02-04,ドリンク仕入れ費,0
2024-02-04,アルバイト人件費,0
2024-02-05,食材仕入れ費,0
2024-02-05,ドリンク仕入れ費,0
2024-02-05,アルバイト人件費,0
2024-02-06,食材仕入れ費,0
2024-02-06,ドリンク仕入れ費,0
2024-02-06,アルバイト人件費,0
2024-02-07,食材仕入れ費,0
2024-02-07,ドリンク仕入れ費,0
2024-02-07,アルバイト人件費,0
2024-02-08,食材仕入れ費,0
2024-02-08,ドリンク仕入れ費,0
2024-02-08,アルバイト人件費,0
2024-02-09,食材仕入れ費,0
2024-02-09,ドリンク仕入れ費,0
2024-02-09,アルバイト人件費,0
2024-02-10,食材仕入れ費,0
2024-02-10,ドリンク仕入れ費,0
2024-02-10,アルバイト人件費,0
2024-02-11,食材仕入れ費,0
2024-02-11,ドリンク仕入れ費,0
2024-02-11,アルバイト人件費,0
2024-02-12,食材仕入れ費,0
2024-02-12,ドリンク仕入れ費,0
2024-02-12,アルバイト人件費,0
2024-02-13,食材仕入れ費,0
2024-02-13,ドリンク仕入れ費,0
2024-02-13,アルバイト人件費,0
2024-02-14,食材仕入れ費,0
2024-02-14,ドリンク仕入れ費,0
2024-02-14,アルバイト人件費,0
2024-02-15,食材仕入れ費,0
2024-02-15,ドリンク仕入れ費,0
2024-02-15,アルバイト人件費,0
2024-02-16,食材仕入れ費,0
2024-02-16,ドリンク仕入れ費,0
2024-02-16,アルバイト人件費,0
2024-02-17,食材仕入れ費,0
2024-02-17,ドリンク仕入れ費,0
2024-02-17,アルバイト人件費,0
2024-02-18,食材仕入れ費,0
2024-02-18,ドリンク仕入れ費,0
2024-02-18,アルバイト人件費,0
2024-02-19,食材仕入れ費,0
2024-02-19,ドリンク仕入れ費,0
2024-02-19,アルバイト人件費,0
2024-02-20,食材仕入れ費,0
2024-02-20,ドリンク仕入れ費,0
2024-02-20,アルバイト人件費,0
2024-02-21,食材仕入れ費,0
2024-02-21,ドリンク仕入れ費,0
2024-02-21,アルバイト人件費,0
2024-02-22,食材仕入れ費,0
2024-02-22,ドリンク仕入れ費,0
2024-02-22,アルバイト人件費,0
2024-02-23,食材仕入れ費,0
2024-02-23,ドリンク仕入れ費,0
2024-02-23,アルバイト人件費,0
2024-02-24,食材仕入れ費,0
2024-02-24,ドリンク仕入れ費,0
2024-02-24,アルバイト人件費,0
2024-02-25,食材仕入れ費,0
2024-02-25,ドリンク仕入れ費,0
2024-02-25,アルバイト人件費,0
2024-02-26,食材仕入れ費,0
2024-02-26,ドリンク仕入れ費,0
2024-02-26,アルバイト人件費,0
2024-02-27,食材仕入れ費,0
2024-02-27,ドリンク仕入れ費,0
2024-02-27,アルバイト人件費,0
2024-02-28,食材仕入れ費,0
2024-02-28,ドリンク仕入れ費,0
2024-02-28,アルバイト人件費,0
2024-02-29,食材仕入れ費,0
2024-02-29,ドリンク仕入れ費,0
2024-02-29,アルバイト人件費,0
2024-03-01,食材仕入れ費,0
2024-03-01,ドリンク仕入れ費,0
2024-03-01,アルバイト人件費,0
2024-03-02,食材仕入れ費,0
2024-03-02,ドリンク仕入れ費,0
2024-03-02,アルバイト人件費,0
2024-03-03,食材仕入れ費,0
2024-03-03,ドリンク仕入れ費,0
2024-03-03,アルバイト人件費,0
2024-03-04,食材仕入れ費,0
2024-03-04,ドリンク仕入れ費,0
2024-03-04,アルバイト人件費,0
2024-03-05,食材仕入れ費,0
2024-03-05,ドリンク仕入れ費,0
2024-03-05,アルバイト人件費,0
2024-03-06,食材仕入れ費,0
2024-03-06,ドリンク仕入れ費,0
2024-03-06,アルバイト人件費,0
2024-03-07,食材仕入れ費,0
2024-03-07,ドリンク仕入れ費,0
2024-03-07,アルバイト人件費,0
2024-03-08,食材仕入れ費,0
2024-03-08,ドリンク仕入れ費,0
2024-03-08,アルバイト人件費,0
2024-03-09,食材仕入れ費,0
2024-03-09,ドリンク仕入れ費,0
2024-03-09,アルバイト人件費,0
2024-03-10,食材仕入れ費,0
2024-03-10,ドリンク仕入れ費,0
2024-03-10,アルバイト人件費,0
2024-03-11,食材仕入れ費,0
2024-03-11,ドリンク仕入れ費,0
2024-03-11,アルバイト人件費,0
2024-03-12,食材仕入れ費,0
2024-03-12,ドリンク仕入れ費,0
2024-03-12,アルバイト人件費,0
2024-03-13,食材仕入れ費,0
2024-03-13,ドリンク仕入れ費,0
2024-03-13,アルバイト人件費,0
2024-03-14,食材仕入れ費,0
2024-03-14,ドリンク仕入れ費,0
2024-03-14,アルバイト人件費,0
2024-03-15,食材仕入れ費,0
2024-03-15,ドリンク仕入れ費,0
2024-03-15,アルバイト人件費,0
2024-03-16,食材仕入れ費,0
2024-03-16,ドリンク仕入れ費,0
2024-03-16,アルバイト人件費,0
2024-03-17,食材仕入れ費,0
2024-03-17,ドリンク仕入れ費,0
2024-03-17,アルバイト人件費,0
2024-03-18,食材仕入れ費,0
2024-03-18,ドリンク仕入れ費,0
2024-03-18,アルバイト人件費,0
2024-03-19,食材仕入れ費,0
2024-03-19,ドリンク仕入れ費,0
2024-03-19,アルバイト人件費,0
2024-03-20,食材仕入れ費,0
2024-03-20,ドリンク仕入れ費,0
2024-03-20,アルバイト人件費,0
2024-03-21,食材仕入れ費,0
2024-03-21,ドリンク仕入れ費,0
2024-03-21,アルバイト人件費,0
2024-03-22,食材仕入れ費,0
2024-03-22,ドリンク仕入れ費,0
2024-03-22,アルバイト人件費,0
2024-03-23,食材仕入れ費,0
2024-03-23,ドリンク仕入れ費,0
2024-03-23,アルバイト人件費,0
2024-03-24,食材仕入れ費,0
2024-03-24,ドリンク仕入れ費,0
2024-03-24,アルバイト人件費,0
2024-03-25,食材仕入れ費,0
2024-03-25,ドリンク仕入れ費,0
2024-03-25,アルバイト人件費,0
2024-03-26,食材仕入れ費,0
2024-03-26,ドリンク仕入れ費,0
2024-03-26,アルバイト人件費,0
2024-03-27,食材仕入れ費,0
2024-03-27,ドリンク仕入れ費,0
2024-03-27,アルバイト人件費,0
2024-03-28,食材仕入れ費,0
2024-03-28,ドリンク仕入れ費,0
2024-03-28,アルバイト人件費,0
2024-03-29,食材仕入れ費,0
2024-03-29,ドリンク仕入れ費,0
2024-03-29,アルバイト人件費,0
2024-03-30,食材仕入れ費,0
2024-03-30,ドリンク仕入れ費,0
2024-03-30,アルバイト人件費,0
2024-03-31,食材仕入れ費,0
2024-03-31,ドリンク仕入れ費,0
2024-03-31,アルバイト人件費,0
2024-04-01,食材仕入れ費,0
2024-04-01,ドリンク仕入れ費,0
2024-04-01,アルバイト人件費,0
2024-04-02,食材仕入れ費,0
2024-04-02,ドリンク仕入れ費,0
2024-04-02,アルバイト人件費,0
2024-04-03,食材仕入れ費,0
2024-04-03,ドリンク仕入れ費,0
2024-04-03,アルバイト人件費,0
2024-04-04,食材仕入れ費,0
2024-04-04,ドリンク仕入れ費,0
2024-04-04,アルバイト人件費,0
2024-04-05,食材仕入れ費,0
2024-04-05,ドリンク仕入れ費,0
2024-04-05,アルバイト人件費,0
2024-04-06,食材仕入れ費,0
2024-04-06,ドリンク仕入れ費,0
2024-04-06,アルバイト人件費,0
2024-04-07,食材仕入れ費,0
2024-04-07,ドリンク仕入れ費,0
2024-04-07,アルバイト人件費,0
2024-04-08,食材仕入れ費,0
2024-04-08,ドリンク仕入れ費,0
2024-04-08,アルバイト人件費,0
2024-04-09,食材仕入れ費,0
2024-04-09,ドリンク仕入れ費,0
2024-04-09,アルバイト人件費,0
2024-04-10,食材仕入れ費,0
2024-04-10,ドリンク仕入れ費,0
2024-04-10,アルバイト人件費,0
2024-04-11,食材仕入れ費,0
2024-04-11,ドリンク仕入れ費,0
2024-04-11,アルバイト人件費,0
2024-04-12,食材仕入れ費,0
2024-04-12,ドリンク仕入れ費,0
2024-04-12,アルバイト人件費,0
2024-04-13,食材仕入れ費,0
2024-04-13,ドリンク仕入れ費,0
2024-04-13,アルバイト人件費,0
2024-04-14,食材仕入れ費,0
2024-04-14,ドリンク仕入れ費,0
2024-04-14,アルバイト人件費,0
2024-04-15,食材仕入れ費,0
2024-04-15,ドリンク仕入れ費,0
2024-04-15,アルバイト人件費,0
2024-04-16,食材仕入れ費,0
2024-04-16,ドリンク仕入れ費,0
2024-04-16,アルバイト人件費,0
2024-04-17,食材仕入れ費,0
2024-04-17,ドリンク仕入れ費,0
2024-04-17,アルバイト人件費,0
2024-04-18,食材仕入れ費,0
2024-04-18,ドリンク仕入れ費,0
2024-04-18,アルバイト人件費,0
