年月日,営業日|店休日,日次売上,ランチ客数,ディナー客数,トータル客数,ランチ組数,ディナー組数,トータル組数
2025-01-01,0,0,0,0,0,0,0,0
2025-01-02,0,0,0,0,0,0,0,0
2025-01-03,0,0,0,0,0,0,0,0
2025-01-04,0,0,0,0,0,0,0,0
2025-01-05,0,0,0,0,0,0,0,0
2025-01-06,1,85280,21,12,33,10,6,16
2025-01-07,1,85940,21,12,33,10,6,16
2025-01-08,1,86590,22,12,34,11,6,17
2025-01-09,1,87250,22,12,34,11,6,17
2025-01-10,1,103730,24,13,37,11,6,17
2025-01-11,1,108240,23,12,35,9,5,14
2025-01-12,0,0,0,0,0,0,0,0
2025-01-13,1,83310,21,12,33,10,6,16
2025-01-14,1,83970,21,12,33,10,6,16
2025-01-15,1,84620,21,12,33,10,6,16
2025-01-16,1,85280,21,12,33,10,6,16
2025-01-17,1,101400,23,13,36,10,6,16
2025-01-18,1,114300,24,12,36,10,5,15
2025-01-19,0,0,0,0,0,0,0,0
2025-01-20,1,87900,22,12,34,11,6,17
2025-01-21,1,82000,20,11,31,10,6,16
2025-01-22,1,82660,21,12,33,10,6,16
2025-01-23,1,83310,21,12,33,10,6,16
2025-01-24,1,99080,23,13,36,10,6,16
2025-01-25,1,111700,24,12,36,10,5,15
2025-01-26,0,0,0,0,0,0,0,0
2025-01-27,1,85940,21,12,33,10,6,16
2025-01-28,1,86590,22,12,34,11,6,17
2025-01-29,1,87250,22,12,34,11,6,17
2025-01-30,1,87900,22,12,34,11,6,17
2025-01-31,1,96760,22,12,34,10,5,15
2025-02-01,1,112200,24,12,36,10,5,15
2025-02-02,0,0,0,0,0,0,0,0
2025-02-03,1,86360,22,12,34,11,6,17
2025-02-04,1,87040,22,12,34,11,6,17
2025-02-05,1,87720,22,12,34,11,6,17
2025-02-06,1,88400,22,12,34,11,6,17
2025-02-07,1,105110,24,13,37,11,6,17
2025-02-08,1,118480,25,13,38,10,5,15
2025-02-09,0,0,0,0,0,0,0,0
2025-02-10,1,91120,23,13,36,12,6,18
2025-02-11,1,85000,21,12,33,10,6,16
2025-02-12,1,85680,21,12,33,10,6,16
2025-02-13,1,86360,22,12,34,11,6,17
2025-02-14,1,102710,24,13,37,11,6,17
2025-02-15,1,115790,25,12,37,10,5,15
2025-02-16,0,0,0,0,0,0,0,0
2025-02-17,1,89080,22,12,34,11,6,17
2025-02-18,1,89760,22,13,35,11,6,17
2025-02-19,1,90440,23,13,36,12,6,18
2025-02-20,1,91120,23,13,36,12,6,18
2025-02-21,1,100300,23,13,36,10,6,16
2025-02-22,1,113100,24,12,36,10,5,15
2025-02-23,0,0,0,0,0,0,0,0
2025-02-24,1,87040,22,12,34,11,6,17
2025-02-25,1,87720,22,12,34,11,6,17
2025-02-26,1,88400,22,12,34,11,6,17
2025-02-27,1,89080,22,12,34,11,6,17
2025-02-28,1,105920,24,13,37,11,6,17
2025-03-01,1,132000,28,14,42,11,6,17
2025-03-02,0,0,0,0,0,0,0,0
2025-03-03,1,101600,25,14,39,12,7,19
2025-03-04,1,102400,26,14,40,13,7,20
2025-03-05,1,103200,26,14,40,13,7,20
2025-03-06,1,104000,26,15,41,13,8,21
2025-03-07,1,123660,29,16,45,13,7,20
2025-03-08,1,139390,30,15,45,12,6,18
2025-03-09,0,0,0,0,0,0,0,0
2025-03-10,1,107200,27,15,42,14,8,22
2025-03-11,1,100000,25,14,39,12,7,19
2025-03-12,1,100800,25,14,39,12,7,19
2025-03-13,1,101600,25,14,39,12,7,19
2025-03-14,1,120830,28,15,43,13,7,20
2025-03-15,1,136220,29,15,44,12,6,18
2025-03-16,0,0,0,0,0,0,0,0
2025-03-17,1,104800,26,15,41,13,8,21
2025-03-18,1,105600,26,15,41,13,8,21
2025-03-19,1,106400,27,15,42,14,8,22
2025-03-20,1,107200,27,15,42,14,8,22
2025-03-21,1,118000,27,15,42,12,7,19
2025-03-22,1,133060,29,14,43,12,6,18
2025-03-23,0,0,0,0,0,0,0,0
2025-03-24,1,102400,26,14,40,13,7,20
2025-03-25,1,103200,26,14,40,13,7,20
2025-03-26,1,104000,26,15,41,13,8,21
2025-03-27,1,104800,26,15,41,13,8,21
2025-03-28,1,124610,29,16,45,13,7,20
2025-03-29,1,140450,30,15,45,12,6,18
2025-03-30,0,0,0,0,0,0,0,0
2025-03-31,1,100000,25,14,39,12,7,19
2025-04-01,1,102000,26,14,40,13,7,20
2025-04-02,1,102820,26,14,40,13,7,20
2025-04-03,1,103630,26,15,41,13,8,21
2025-04-04,1,123250,28,16,44,13,7,20
2025-04-05,1,138950,30,15,45,12,6,18
2025-04-06,0,0,0,0,0,0,0,0
2025-04-07,1,106900,27,15,42,14,8,22
2025-04-08,1,107710,27,15,42,14,8,22
2025-04-09,1,108530,27,15,42,14,8,22
2025-04-10,1,109340,27,15,42,14,8,22
2025-04-11,1,120360,28,15,43,13,7,20
2025-04-12,1,135720,29,15,44,12,6,18
2025-04-13,0,0,0,0,0,0,0,0
2025-04-14,1,104450,26,15,41,13,8,21
2025-04-15,1,105260,26,15,41,13,8,21
2025-04-16,1,106080,27,15,42,14,8,22
2025-04-17,1,106900,27,15,42,14,8,22
2025-04-18,1,127100,29,16,45,13,7,20
2025-04-19,1,143260,31,15,46,12,6,18
2025-04-20,0,0,0,0,0,0,0,0
2025-04-21,1,102000,26,14,40,13,7,20
2025-04-22,1,102820,26,14,40,13,7,20
2025-04-23,1,103630,26,15,41,13,8,21
2025-04-24,1,104450,26,15,41,13,8,21
2025-04-25,1,124210,29,16,45,13,7,20
2025-04-26,1,140030,30,15,45,12,6,18
2025-04-27,0,0,0,0,0,0,0,0
2025-04-28,1,107710,27,15,42,14,8,22
2025-04-29,1,108530,27,15,42,14,8,22
2025-04-30,1,109340,27,15,42,14,8,22
2025-05-01,1,104000,26,15,41,13,8,21
