日付,費目,金額
2025-01,ガス代,25090
2025-02,ガス代,25090
2025-03,ガス代,15230
2025-04,ガス代,15230
2025-05,ガス代,15230
2025-06,ガス代,15230
2025-07,ガス代,15230
2025-08,ガス代,15230
2025-09,ガス代,15230
2025-10,ガス代,15230
2025-11,ガス代,15230
2025-12,ガス代,25090
2025-01,クレジットカード手数料,37820
2025-02,クレジットカード手数料,41110
2025-03,クレジットカード手数料,52690
2025-04,クレジットカード手数料,53190
2025-05,クレジットカード手数料,57200
2025-06,クレジットカード手数料,56430
2025-07,クレジットカード手数料,62580
2025-08,クレジットカード手数料,46770
2025-09,クレジットカード手数料,56440
2025-10,クレジットカード手数料,59760
2025-11,クレジットカード手数料,57000
2025-12,クレジットカード手数料,61970
2025-01,家賃,220000
2025-02,家賃,220000
2025-03,家賃,220000
2025-04,家賃,220000
2025-05,家賃,220000
2025-06,家賃,220000
2025-07,家賃,220000
2025-08,家賃,220000
2025-09,家賃,220000
2025-10,家賃,220000
2025-11,家賃,220000
2025-12,家賃,220000
2025-01,固定人件費,310000
2025-02,固定人件費,312000
2025-03,固定人件費,314000
2025-04,固定人件費,316000
2025-05,固定人件費,318000
2025-06,固定人件費,320000
2025-07,固定人件費,322000
2025-08,固定人件費,324000
2025-09,固定人件費,326000
2025-10,固定人件費,328000
2025-11,固定人件費,330000
2025-12,固定人件費,332000
2025-01,広告宣伝費,19600
2025-02,広告宣伝費,14000
2025-03,広告宣伝費,30800
2025-04,広告宣伝費,25200
2025-05,広告宣伝費,33600
2025-06,広告宣伝費,39200
2025-07,広告宣伝費,28000
2025-08,広告宣伝費,22400
2025-09,広告宣伝費,36400
2025-10,広告宣伝費,30800
2025-11,広告宣伝費,42000
2025-12,広告宣伝費,61600
2025-01,雑費・小口精算費,13440
2025-02,雑費・小口精算費,14110
2025-03,雑費・小口精算費,14780
2025-04,雑費・小口精算費,13440
2025-05,雑費・小口精算費,14110
2025-06,雑費・小口精算費,14780
2025-07,雑費・小口精算費,13440
2025-08,雑費・小口精算費,14110
2025-09,雑費・小口精算費,14780
2025-10,雑費・小口精算費,13440
2025-11,雑費・小口精算費,14110
2025-12,雑費・小口精算費,14780
2025-01,水道代,10080
2025-02,水道代,10080
2025-03,水道代,10080
2025-04,水道代,10080
2025-05,水道代,10080
2025-06,水道代,12100
2025-07,水道代,12100
2025-08,水道代,12100
2025-09,水道代,10080
2025-10,水道代,10080
2025-11,水道代,10080
2025-12,水道代,10080
2025-01,損害保険,12000
2025-02,損害保険,12000
2025-03,損害保険,12000
2025-04,損害保険,12000
2025-05,損害保険,12000
2025-06,損害保険,12000
2025-07,損害保険,12000
2025-08,損害保険,12000
2025-09,損害保険,12000
2025-10,損害保険,12000
2025-11,損害保険,12000
2025-12,損害保険,12000
2025-01,通信費,8500
2025-02,通信費,8500
2025-03,通信費,8500
2025-04,通信費,8500
2025-05,通信費,8500
2025-06,通信費,8500
2025-07,通信費,8500
2025-08,通信費,8500
2025-09,通信費,8500
2025-10,通信費,8500
2025-11,通信費,8500
2025-12,通信費,8500
2025-01,電気代,37800
2025-02,電気代,37800
2025-03,電気代,28000
2025-04,電気代,28000
2025-05,電気代,28000
2025-06,電気代,32200
2025-07,電気代,40600
2025-08,電気代,40600
2025-09,電気代,32200
2025-10,電気代,28000
2025-11,電気代,28000
2025-12,電気代,37800
2025-01,備品・消耗品仕入費,20160
2025-02,備品・消耗品仕入費,20560
2025-03,備品・消耗品仕入費,20970
2025-04,備品・消耗品仕入費,21370
2025-05,備品・消耗品仕入費,21770
2025-06,備品・消耗品仕入費,22180
2025-07,備品・消耗品仕入費,22580
2025-08,備品・消耗品仕入費,22980
2025-09,備品・消耗品仕入費,23390
2025-10,備品・消耗品仕入費,23790
2025-11,備品・消耗品仕入費,24190
2025-12,備品・消耗品仕入費,24600
2025-09-03,食材仕入れ費,16680
2025-09-02,アルバイト人件費,17420
2025-09-02,ドリンク仕入れ費,21340
2025-09-03,ドリンク仕入れ費,21510
2025-09-04,ドリンク仕入れ費,21670
2025-09-04,食材仕入れ費,16810
2025-09-03,アルバイト人件費,17560
2025-08-30,アルバイト人件費,25810
2025-08-30,ドリンク仕入れ費,31620
2025-08-30,食材仕入れ費,24520
2025-09-01,食材仕入れ費,16420
2025-09-02,食材仕入れ費,16550
2025-09-01,アルバイト人件費,17280
2025-09-01,ドリンク仕入れ費,21170
2025-09-08,アルバイト人件費,18250
2025-09-08,ドリンク仕入れ費,22350
2025-09-08,食材仕入れ費,17340
2025-09-09,食材仕入れ費,17470
2025-09-10,食材仕入れ費,17600
2025-09-09,アルバイト人件費,18390
2025-09-09,ドリンク仕入れ費,22520
2025-09-05,ドリンク仕入れ費,25780
2025-09-05,食材仕入れ費,19990
2025-09-04,アルバイト人件費,17690
2025-09-05,アルバイト人件費,21040
2025-09-06,アルバイト人件費,23720
2025-09-06,ドリンク仕入れ費,29060
2025-09-06,食材仕入れ費,22540
2025-08-15,アルバイト人件費,22210
2025-08-15,ドリンク仕入れ費,27210
2025-08-15,食材仕入れ費,21100
2025-08-16,食材仕入れ費,23790
2025-08-25,食材仕入れ費,17880
2025-08-16,アルバイト人件費,25040
2025-08-16,ドリンク仕入れ費,30670
2025-08-13,ドリンク仕入れ費,22700
2025-08-13,食材仕入れ費,17610
2025-08-12,アルバイト人件費,18390
2025-08-13,アルバイト人件費,18530
2025-08-14,アルバイト人件費,18680
2025-08-14,ドリンク仕入れ費,22880
2025-08-14,食材仕入れ費,17740
2025-08-28,ドリンク仕入れ費,23600
2025-08-28,食材仕入れ費,18300
2025-08-27,アルバイト人件費,19120
2025-08-28,アルバイト人件費,19260
2025-08-29,アルバイト人件費,22900
2025-08-29,ドリンク仕入れ費,28050
2025-08-29,食材仕入れ費,21760
2025-08-26,食材仕入れ費,18020
2025-08-25,アルバイト人件費,18820
2025-08-25,ドリンク仕入れ費,23060
2025-08-26,ドリンク仕入れ費,23240
2025-08-27,ドリンク仕入れ費,23420
2025-08-27,食材仕入れ費,18160
2025-08-26,アルバイト人件費,18970
2025-09-24,アルバイト人件費,17690
2025-09-24,ドリンク仕入れ費,21670
2025-09-24,食材仕入れ費,16810
2025-09-25,食材仕入れ費,16940
2025-09-26,食材仕入れ費,20150
2025-09-25,アルバイト人件費,17830
2025-09-25,ドリンク仕入れ費,21850
2025-09-22,ドリンク仕入れ費,21340
2025-09-22,食材仕入れ費,16550
2025-09-20,アルバイト人件費,24450
2025-09-22,アルバイト人件費,17420
2025-09-23,アルバイト人件費,17560
2025-09-23,ドリンク仕入れ費,21510
2025-09-23,食材仕入れ費,16680
2025-09-30,ドリンク仕入れ費,22690
2025-09-30,食材仕入れ費,17600
2025-09-29,アルバイト人件費,18390
2025-09-30,アルバイト人件費,18520
2025-10-01,アルバイト人件費,17600
2025-10-01,ドリンク仕入れ費,21560
2025-10-01,食材仕入れ費,16720
2025-09-27,食材仕入れ費,22710
2025-09-26,アルバイト人件費,21210
2025-09-26,ドリンク仕入れ費,25980
2025-09-27,ドリンク仕入れ費,29280
2025-09-29,ドリンク仕入れ費,22520
2025-09-29,食材仕入れ費,17470
2025-09-27,アルバイト人件費,23900
2025-09-13,ドリンク仕入れ費,28390
2025-09-13,食材仕入れ費,22020
2025-09-12,アルバイト人件費,20550
2025-09-13,アルバイト人件費,23170
2025-09-15,アルバイト人件費,17830
2025-09-15,ドリンク仕入れ費,21850
2025-09-15,食材仕入れ費,16940
2025-09-11,食材仕入れ費,16420
2025-09-10,アルバイト人件費,18520
2025-09-10,ドリンク仕入れ費,22690
2025-09-11,ドリンク仕入れ費,21170
2025-09-12,ドリンク仕入れ費,25180
2025-09-12,食材仕入れ費,19530
2025-09-11,アルバイト人件費,17280
2025-09-19,食材仕入れ費,20610
2025-09-18,アルバイト人件費,18250
2025-09-18,ドリンク仕入れ費,22350
2025-09-19,ドリンク仕入れ費,26580
2025-09-20,ドリンク仕入れ費,29950
2025-09-20,食材仕入れ費,23230
2025-09-19,アルバイト人件費,21700
2025-09-16,アルバイト人件費,17970
2025-09-16,ドリンク仕入れ費,22010
2025-09-16,食材仕入れ費,17070
2025-09-17,食材仕入れ費,17200
2025-09-18,食材仕入れ費,17340
2025-09-17,アルバイト人件費,18110
2025-09-17,ドリンク仕入れ費,22180
2025-08-12,ドリンク仕入れ費,22520
2025-07-14,ドリンク仕入れ費,23280
2025-07-14,食材仕入れ費,18050
2025-07-12,アルバイト人件費,24690
2025-07-14,アルバイト人件費,19000
2025-07-15,アルバイト人件費,19150
2025-07-15,ドリンク仕入れ費,23460
2025-07-15,食材仕入れ費,18200
2025-07-11,食材仕入れ費,20800
2025-07-10,アルバイト人件費,19900
2025-07-10,ドリンク仕入れ費,24370
2025-07-11,ドリンク仕入れ費,26830
2025-07-12,ドリンク仕入れ費,30250
2025-07-12,食材仕入れ費,23460
2025-07-11,アルバイト人件費,21900
2025-07-19,食材仕入れ費,24760
2025-07-18,アルバイト人件費,23130
2025-07-18,ドリンク仕入れ費,28330
2025-07-19,ドリンク仕入れ費,31930
2025-07-21,ドリンク仕入れ費,22740
2025-07-21,食材仕入れ費,17630
2025-07-19,アルバイト人件費,26070
2025-07-16,アルバイト人件費,19300
2025-07-16,ドリンク仕入れ費,23650
2025-07-16,食材仕入れ費,18340
2025-07-17,食材仕入れ費,18480
2025-07-18,食材仕入れ費,21970
2025-07-17,アルバイト人件費,19450
2025-07-17,ドリンク仕入れ費,23830
2025-07-03,食材仕入れ費,17920
2025-07-02,アルバイト人件費,18710
2025-07-02,ドリンク仕入れ費,22920
2025-07-03,ドリンク仕入れ費,23100
2025-07-04,ドリンク仕入れ費,27470
2025-07-04,食材仕入れ費,21310
2025-07-03,アルバイト人件費,18860
2025-06-30,アルバイト人件費,19210
2025-06-30,ドリンク仕入れ費,23530
2025-06-30,食材仕入れ費,18250
2025-07-01,食材仕入れ費,17630
2025-07-02,食材仕入れ費,17770
2025-07-01,アルバイト人件費,18560
2025-07-01,ドリンク仕入れ費,22740
2025-07-08,アルバイト人件費,19600
2025-07-08,ドリンク仕入れ費,24010
2025-07-08,食材仕入れ費,18620
2025-07-09,食材仕入れ費,18760
2025-07-10,食材仕入れ費,18900
2025-07-09,アルバイト人件費,19750
2025-07-09,ドリンク仕入れ費,24190
2025-07-05,ドリンク仕入れ費,30970
2025-07-05,食材仕入れ費,24020
2025-07-04,アルバイト人件費,22430
2025-07-05,アルバイト人件費,25280
2025-07-07,アルバイト人件費,19450
2025-07-07,ドリンク仕入れ費,23830
2025-07-07,食材仕入れ費,18480
2025-08-05,食材仕入れ費,17880
2025-08-04,アルバイト人件費,18680
2025-08-04,ドリンク仕入れ費,22880
2025-08-05,ドリンク仕入れ費,23060
2025-08-06,ドリンク仕入れ費,23240
2025-08-06,食材仕入れ費,18020
2025-08-05,アルバイト人件費,18820
2025-08-01,アルバイト人件費,21520
2025-08-01,ドリンク仕入れ費,26360
2025-08-01,食材仕入れ費,20450
2025-08-02,食材仕入れ費,23050
2025-08-04,食材仕入れ費,17740
2025-08-02,アルバイト人件費,24270
2025-08-02,ドリンク仕入れ費,29730
2025-08-09,アルバイト人件費,25620
2025-08-09,ドリンク仕入れ費,31380
2025-08-09,食材仕入れ費,24340
2025-08-11,食材仕入れ費,17330
2025-08-12,食材仕入れ費,17470
2025-08-11,アルバイト人件費,18240
2025-08-11,ドリンク仕入れ費,22340
2025-08-07,ドリンク仕入れ費,23420
2025-08-07,食材仕入れ費,18160
2025-08-06,アルバイト人件費,18970
2025-08-07,アルバイト人件費,19120
