日付,費目,金額
2026-01,ガス代,28000
2026-02,ガス代,28000
2026-03,ガス代,17000
2026-04,ガス代,17000
2026-05,ガス代,17000
2026-06,ガス代,17000
2026-07,ガス代,17000
2026-08,ガス代,17000
2026-09,ガス代,17000
2026-01,クレジットカード手数料,49860
2026-02,クレジットカード手数料,51490
2026-03,クレジットカード手数料,65230
2026-04,クレジットカード手数料,66560
2026-05,クレジットカード手数料,69060
2026-06,クレジットカード手数料,73170
2026-07,クレジットカード手数料,78770
2026-08,クレジットカード手数料,57770
2026-09,クレジットカード手数料,70400
2026-01,家賃,220000
2026-02,家賃,220000
2026-03,家賃,220000
2026-04,家賃,220000
2026-05,家賃,220000
2026-06,家賃,220000
2026-07,家賃,220000
2026-08,家賃,220000
2026-09,家賃,220000
2026-01,固定人件費,340000
2026-02,固定人件費,342000
2026-03,固定人件費,344000
2026-04,固定人件費,346000
2026-05,固定人件費,348000
2026-06,固定人件費,350000
2026-07,固定人件費,352000
2026-08,固定人件費,354000
2026-09,固定人件費,356000
2026-01,広告宣伝費,21880
2026-02,広告宣伝費,15620
2026-03,広告宣伝費,34380
2026-04,広告宣伝費,28120
2026-05,広告宣伝費,37500
2026-06,広告宣伝費,43750
2026-07,広告宣伝費,31250
2026-08,広告宣伝費,25000
2026-09,広告宣伝費,40620
2026-01,雑費・小口精算費,15000
2026-02,雑費・小口精算費,15750
2026-03,雑費・小口精算費,16500
2026-04,雑費・小口精算費,15000
2026-05,雑費・小口精算費,15750
2026-06,雑費・小口精算費,16500
2026-07,雑費・小口精算費,15000
2026-08,雑費・小口精算費,15750
2026-09,雑費・小口精算費,16500
2026-01,水道代,11250
2026-02,水道代,11250
2026-03,水道代,11250
2026-04,水道代,11250
2026-05,水道代,11250
2026-06,水道代,13500
2026-07,水道代,13500
2026-08,水道代,13500
2026-09,水道代,11250
2026-01,損害保険,13000
2026-02,損害保険,13000
2026-03,損害保険,13000
2026-04,損害保険,13000
2026-05,損害保険,13000
2026-06,損害保険,13000
2026-07,損害保険,13000
2026-08,損害保険,13000
2026-09,損害保険,13000
2026-01,通信費,9000
2026-02,通信費,9000
2026-03,通信費,9000
2026-04,通信費,9000
2026-05,通信費,9000
2026-06,通信費,9000
2026-07,通信費,9000
2026-08,通信費,9000
2026-09,通信費,9000
2026-01,電気代,42190
2026-02,電気代,42190
2026-03,電気代,31250
2026-04,電気代,31250
2026-05,電気代,31250
2026-06,電気代,35940
2026-07,電気代,45310
2026-08,電気代,45310
2026-09,電気代,35940
2026-01,備品・消耗品仕入費,22500
2026-02,備品・消耗品仕入費,22950
2026-03,備品・消耗品仕入費,23400
2026-04,備品・消耗品仕入費,23850
2026-05,備品・消耗品仕入費,24300
