年月日,営業日|店休日,家賃,固定人件費,損害保険,備品・消耗品仕入費,雑費・小口精算費,電気代,ガス代,水道代,通信費,広告宣伝費,クレジットカード手数料,食材仕入れ費,ドリンク仕入れ費,アルバイト人件費
2026-01-01,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-02,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-03,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-04,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-05,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16080,20730,16920
2026-01-06,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16200,20890,17060
2026-01-07,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16330,21050,17190
2026-01-08,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16450,21220,17320
2026-01-09,1,7096,10967,419,725,483,1360,903,362,290,705,1608,19560,25220,20590
2026-01-10,1,7096,10967,419,725,483,1360,903,362,290,705,1608,22050,28430,23210
2026-01-11,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-12,1,7096,10967,419,725,483,1360,903,362,290,705,1608,15710,20250,16530
2026-01-13,1,7096,10967,419,725,483,1360,903,362,290,705,1608,15830,20410,16660
2026-01-14,1,7096,10967,419,725,483,1360,903,362,290,705,1608,15950,20570,16790
2026-01-15,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16080,20730,16920
2026-01-16,1,7096,10967,419,725,483,1360,903,362,290,705,1608,19120,24650,20130
2026-01-17,1,7096,10967,419,725,483,1360,903,362,290,705,1608,21550,27790,22690
2026-01-18,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-19,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16580,21380,17450
2026-01-20,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16700,21540,17580
2026-01-21,1,7096,10967,419,725,483,1360,903,362,290,705,1608,15580,20090,16400
2026-01-22,1,7096,10967,419,725,483,1360,903,362,290,705,1608,15710,20250,16530
2026-01-23,1,7096,10967,419,725,483,1360,903,362,290,705,1608,18680,24090,19660
2026-01-24,1,7096,10967,419,725,483,1360,903,362,290,705,1608,21060,27160,22170
2026-01-25,0,7096,10967,419,725,483,1360,903,362,290,705,1608,0,0,0
2026-01-26,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16200,20890,17060
2026-01-27,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16330,21050,17190
2026-01-28,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16450,21220,17320
2026-01-29,1,7096,10967,419,725,483,1360,903,362,290,705,1608,16580,21380,17450
2026-01-30,1,7096,10967,419,725,483,1360,903,362,290,705,1608,19710,25410,20750
2026-01-31,1,7120,10990,430,750,510,1390,910,390,300,730,1620,20570,26520,21650
2026-02-01,0,7857,12214,464,819,562,1506,1000,401,321,557,1838,0,0,0
2026-02-02,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,16280,20990,17140
2026-02-03,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,16410,21160,17270
2026-02-04,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,16540,21320,17410
2026-02-05,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,16670,21490,17540
2026-02-06,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,19820,25560,20860
2026-02-07,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,22340,28810,23520
2026-02-08,0,7857,12214,464,819,562,1506,1000,401,321,557,1838,0,0,0
2026-02-09,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,17180,22160,18090
2026-02-10,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,17310,22320,18220
2026-02-11,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,16150,20820,17000
2026-02-12,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,16280,20990,17140
2026-02-13,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,19360,24970,20380
2026-02-14,1,7857,12214,464,819,562,1506,1000,401,321,557,1838,21830,28150,22980
2026-02-15,0,7857,12214,464,819,562,1506,1000,401,321,557,1838,0,0,0
