date,item,label,amount
2025-01-01,exp_food_cost,Food cost,12849
2025-01-01,exp_drink_cost,Drink cost,4647
2025-01-01,exp_variable_labor,Variable Labor,6678
2025-01-02,exp_food_cost,Food cost,12887
2025-01-02,exp_drink_cost,Drink cost,5408
2025-01-02,exp_variable_labor,Variable Labor,6962
2025-01-03,exp_food_cost,Food cost,15111
2025-01-03,exp_drink_cost,Drink cost,6533
2025-01-03,exp_variable_labor,Variable Labor,7558
2025-01-04,exp_food_cost,Food cost,27577
2025-01-04,exp_drink_cost,Drink cost,12877
2025-01-04,exp_variable_labor,Variable Labor,13271
2025-01-06,exp_food_cost,Food cost,22576
2025-01-06,exp_drink_cost,Drink cost,8275
2025-01-06,exp_variable_labor,Variable Labor,11212
2025-01-07,exp_food_cost,Food cost,21565
2025-01-07,exp_drink_cost,Drink cost,8756
2025-01-07,exp_variable_labor,Variable Labor,11796
2025-01-08,exp_food_cost,Food cost,22027
2025-01-08,exp_drink_cost,Drink cost,8728
2025-01-08,exp_variable_labor,Variable Labor,10746
2025-01-09,exp_food_cost,Food cost,21664
2025-01-09,exp_drink_cost,Drink cost,10051
2025-01-09,exp_variable_labor,Variable Labor,12527
2025-01-10,exp_food_cost,Food cost,24609
2025-01-10,exp_drink_cost,Drink cost,11694
2025-01-10,exp_variable_labor,Variable Labor,15054
2025-01-11,exp_food_cost,Food cost,26018
2025-01-11,exp_drink_cost,Drink cost,13977
2025-01-11,exp_variable_labor,Variable Labor,13066
2025-01-13,exp_food_cost,Food cost,21309
2025-01-13,exp_drink_cost,Drink cost,8785
2025-01-13,exp_variable_labor,Variable Labor,11696
2025-01-14,exp_food_cost,Food cost,23897
2025-01-14,exp_drink_cost,Drink cost,9441
2025-01-14,exp_variable_labor,Variable Labor,12488
2025-01-15,exp_food_cost,Food cost,23585
2025-01-15,exp_drink_cost,Drink cost,9417
2025-01-15,exp_variable_labor,Variable Labor,13317
2025-01-16,exp_food_cost,Food cost,23595
2025-01-16,exp_drink_cost,Drink cost,9702
2025-01-16,exp_variable_labor,Variable Labor,10922
2025-01-17,exp_food_cost,Food cost,28465
2025-01-17,exp_drink_cost,Drink cost,11929
2025-01-17,exp_variable_labor,Variable Labor,15834
2025-01-18,exp_food_cost,Food cost,28141
2025-01-18,exp_drink_cost,Drink cost,13793
2025-01-18,exp_variable_labor,Variable Labor,12954
2025-01-20,exp_food_cost,Food cost,22845
2025-01-20,exp_drink_cost,Drink cost,8598
2025-01-20,exp_variable_labor,Variable Labor,9600
2025-01-21,exp_food_cost,Food cost,23408
2025-01-21,exp_drink_cost,Drink cost,9123
2025-01-21,exp_variable_labor,Variable Labor,12228
2025-01-22,exp_food_cost,Food cost,22524
2025-01-22,exp_drink_cost,Drink cost,10037
2025-01-22,exp_variable_labor,Variable Labor,12113
2025-01-23,exp_food_cost,Food cost,24741
2025-01-23,exp_drink_cost,Drink cost,9563
2025-01-23,exp_variable_labor,Variable Labor,13318
2025-01-24,exp_food_cost,Food cost,24447
2025-01-24,exp_drink_cost,Drink cost,11437
2025-01-24,exp_variable_labor,Variable Labor,12968
2025-01-25,exp_food_cost,Food cost,27653
2025-01-25,exp_drink_cost,Drink cost,14075
2025-01-25,exp_variable_labor,Variable Labor,14533
2025-01-27,exp_food_cost,Food cost,23454
2025-01-27,exp_drink_cost,Drink cost,8976
2025-01-27,exp_variable_labor,Variable Labor,10841
2025-01-28,exp_food_cost,Food cost,22536
2025-01-28,exp_drink_cost,Drink cost,8721
2025-01-28,exp_variable_labor,Variable Labor,11917
2025-01-29,exp_food_cost,Food cost,23639
2025-01-29,exp_drink_cost,Drink cost,8845
2025-01-29,exp_variable_labor,Variable Labor,12031
2025-01-30,exp_food_cost,Food cost,22390
2025-01-30,exp_drink_cost,Drink cost,9475
2025-01-30,exp_variable_labor,Variable Labor,11586
2025-01-31,exp_food_cost,Food cost,27542
2025-01-31,exp_drink_cost,Drink cost,11595
2025-01-31,exp_variable_labor,Variable Labor,13745
2025-02-01,exp_food_cost,Food cost,29879
2025-02-01,exp_drink_cost,Drink cost,13160
2025-02-01,exp_variable_labor,Variable Labor,16216
2025-02-03,exp_food_cost,Food cost,23546
2025-02-03,exp_drink_cost,Drink cost,8320
2025-02-03,exp_variable_labor,Variable Labor,11812
2025-02-04,exp_food_cost,Food cost,23377
2025-02-04,exp_drink_cost,Drink cost,9983
2025-02-04,exp_variable_labor,Variable Labor,10460
2025-02-05,exp_food_cost,Food cost,23248
2025-02-05,exp_drink_cost,Drink cost,9040
2025-02-05,exp_variable_labor,Variable Labor,11759
