date,business_day,daily_sales,lunch_sales,dinner_sales,total_customers,lunch_customers,dinner_customers,total_groups,lunch_groups,dinner_groups,food_sales,drink_sales
2025-01-01,1,59550,25606,33944,15,6,9,7,3,4,41685,17865
2025-01-02,1,64920,27266,37654,18,8,10,9,4,5,44795,20125
2025-01-03,1,71870,25873,45997,16,6,10,7,3,4,48153,23717
2025-01-04,1,143710,45987,97723,36,12,24,14,4,10,94849,48861
2025-01-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-06,1,101330,44585,56745,26,11,15,13,6,7,71944,29386
2025-01-07,1,105380,45313,60067,24,10,14,11,5,6,73766,31614
2025-01-08,1,110430,47485,62945,30,13,17,13,6,7,77301,33129
2025-01-09,1,111210,46708,64502,25,10,15,11,5,6,76735,34475
2025-01-10,1,127270,45817,81453,32,12,20,15,5,10,85271,41999
2025-01-11,1,140490,44957,95533,37,12,25,16,5,11,92723,47767
2025-01-12,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-13,1,105160,46270,58890,25,11,14,12,5,7,74664,30496
2025-01-14,1,107290,46135,61155,28,12,16,11,5,6,75103,32187
2025-01-15,1,112680,48452,64228,30,13,17,15,6,9,78876,33804
2025-01-16,1,114240,47981,66259,27,11,16,11,5,6,78826,35414
2025-01-17,1,134520,48427,86093,35,13,22,16,6,10,90128,44392
2025-01-18,1,142550,45616,96934,38,12,26,19,6,13,94083,48467
2025-01-19,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20,1,101150,44506,56644,24,11,13,10,4,6,71816,29334
2025-01-21,1,109450,47064,62386,26,11,15,13,6,7,76615,32835
2025-01-22,1,112480,48366,64114,30,13,17,13,6,7,78736,33744
2025-01-23,1,115290,48422,66868,28,12,16,12,5,7,79550,35740
2025-01-24,1,129720,46699,83021,30,11,19,13,5,8,86912,42808
2025-01-25,1,141780,45370,96410,38,12,26,17,5,12,93575,48205
2025-01-26,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,1,105570,46451,59119,27,12,15,11,5,6,74955,30615
2025-01-28,1,107740,46328,61412,27,12,15,11,5,6,75418,32322
2025-01-29,1,112890,48543,64347,27,12,15,11,5,6,79023,33867
2025-01-30,1,114780,48208,66572,27,11,16,13,5,8,79198,35582
2025-01-31,1,129600,46656,82944,36,13,23,16,6,10,86832,42768
2025-02-01,1,143970,46070,97900,38,12,26,16,5,11,95020,48950
2025-02-02,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-03,1,108440,47714,60726,27,12,15,12,5,7,76992,31448
2025-02-04,1,112600,48418,64182,29,12,17,13,6,7,78820,33780
2025-02-05,1,112390,48328,64062,27,12,15,11,5,6,78673,33717
2025-02-06,1,117440,49325,68115,31,13,18,12,5,7,81034,36406
2025-02-07,1,130470,46969,83501,35,13,22,17,6,11,87415,43055
2025-02-08,1,147560,47219,100341,37,12,25,16,5,11,97390,50170
2025-02-09,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-10,1,106860,47018,59842,26,11,15,11,5,6,75871,30989
2025-02-11,1,111930,48130,63800,30,13,17,13,6,7,78351,33579
2025-02-12,1,111710,48035,63675,30,13,17,13,6,7,78197,33513
2025-02-13,1,115090,48338,66752,28,12,16,11,5,6,79412,35678
2025-02-14,1,136530,49151,87379,34,12,22,13,5,8,91475,45055
2025-02-15,1,143830,46026,97804,37,12,25,15,5,10,94928,48902
2025-02-16,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-17,1,105940,46614,59326,28,12,16,14,6,8,75217,30723
2025-02-18,1,112050,48182,63868,31,13,18,15,6,9,78435,33615
2025-02-19,1,112730,48474,64256,29,12,17,12,5,7,78911,33819
2025-02-20,1,114090,47918,66172,31,13,18,13,5,8,78722,35368
2025-02-21,1,130970,47149,83821,35,13,22,14,5,9,87750,43220
2025-02-22,1,145150,46448,98702,37,12,25,17,5,12,95799,49351
2025-02-23,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,1,105480,46411,59069,27,12,15,11,5,6,74891,30589
2025-02-25,1,111100,47773,63327,28,12,16,13,6,7,77770,33330
2025-02-26,1,113830,48947,64883,29,12,17,14,6,8,79681,34149
2025-02-27,1,116450,48909,67541,30,13,17,13,5,8,80350,36100
2025-02-28,1,132780,47801,84979,32,12,20,13,5,8,88963,43817
2025-03-01,1,159380,51002,108378,40,13,27,18,6,12,105191,54189
2025-03-02,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,1,115540,50838,64702,27,12,15,11,5,6,82033,33507
2025-03-04,1,123450,53084,70366,32,14,18,13,6,7,86415,37035
